board_ascii,legal_moves_uci,side_to_move
"r-bqk--r
--p--pp-
--np-n--
-pb-p--p
p--PP---
--P--N-P
PPB--PP-
RNBQR-K-",h8g8 h8f8 h8h7 h8h6 e8f8 e8e7 e8d7 d8e7 d8d7 c8d7 c8b7 c8e6 c8a6 c8f5 c8g4 c8h3 a8b8 a8a7 a8a6 a8a5 f6g8 f6h7 f6d7 f6d5 f6g4 f6e4 c6b8 c6e7 c6a7 c6a5 c6d4 c6b4 c5a7 c5b6 c5d4 c5b4 c5a3 e8g8 e5d4 g7g6 d6d5 h5h4 b5b4 a4a3 g7g5,black
"--------
--------
--kp----
--------
--------
pp--K---
-------P
R-------",e3f4 e3e4 e3d4 e3f3 e3d3 e3f2 e3e2 e3d2 a1a3 a1a2 a1h1 a1g1 a1f1 a1e1 a1d1 a1c1 a1b1 h2h3 h2h4,white
"--------
-----ppk
-------p
p------P
P-------
-----qPK
--------
--------",h7h8 h7g8 f3a8 f3b7 f3f6 f3c6 f3h5 f3f5 f3d5 f3g4 f3f4 f3e4 f3g3 f3e3 f3d3 f3c3 f3b3 f3a3 f3g2 f3f2 f3e2 f3h1 f3f1 f3d1 g7g6 f7f6 g7g5 f7f5,black
"rnq--rk-
pb--bppp
-p-ppn--
--------
PPPNP---
------P-
---N-PBP
R-BQ-RK-",d4e6 d4c6 d4f5 d4b5 d4f3 d4b3 d4e2 d4c2 g2h3 g2f3 g2h1 d2f3 d2b3 d2b1 g1h1 f1e1 d1h5 d1g4 d1f3 d1b3 d1e2 d1c2 d1e1 c1a3 c1b2 a1a3 a1a2 a1b1 e4e5 c4c5 b4b5 a4a5 g3g4 h2h3 f2f3 h2h4 f2f4,white
"r-bqk--r
ppp--pb-
--np-n-p
----p-p-
--B-P---
--PPBN--
PP-N-PPP
R--Q-RK-",h8g8 h8f8 h8h7 e8f8 e8e7 e8d7 d8e7 d8d7 c8d7 c8e6 c8f5 c8g4 c8h3 a8b8 g7f8 f6g8 f6h7 f6d7 f6h5 f6d5 f6g4 f6e4 c6b8 c6e7 c6a5 c6d4 c6b4 e8g8 b7b6 a7a6 h6h5 d6d5 g5g4 b7b5 a7a5,black
"---r--k-
-p--rp--
--p---p-
p-------
P--Bp-n-
-P----P-
-----PK-
---R---R",g8f8 d8f8 d8e8 d8c8 d8b8 d8a8 d8d7 d8d6 d8d5 d8d4 e7e8 e7d7 e7c7 e7e6 e7e5 g4h6 g4f6 g4e5 g4e3 g4h2 g4f2 f7f6 b7b6 g6g5 c6c5 e4e3 f7f5 b7b5,black
"---r-rk-
-p-qb-p-
p--ppn-p
--p-n---
----P---
P-NP--PP
-PPBQ-BK
R----R--",c3d5 c3b5 c3a4 c3a2 c3d1 c3b1 h2h1 h2g1 g2f3 g2h1 e2h5 e2g4 e2f3 e2e3 e2f2 e2e1 e2d1 d2h6 d2g5 d2f4 d2e3 d2e1 d2c1 f1f6 f1f5 f1f4 f1f3 f1f2 f1h1 f1g1 f1e1 f1d1 f1c1 f1b1 a1a2 a1e1 a1d1 a1c1 a1b1 h3h4 g3g4 d3d4 a3a4 b2b3 b2b4,white
"-----rk-
-pN--pb-
--nP--p-
----P--p
rp-p-Pb-
---P----
-P---PBP
-R--R-K-",g8h8 g8h7 f8e8 f8d8 f8c8 f8b8 f8a8 g7h8 g7h6 g7f6 g7e5 c6d8 c6b8 c6e7 c6a7 c6e5 c6a5 g4c8 g4d7 g4e6 g4f5 g4h3 g4f3 g4e2 g4d1 a4a8 a4a7 a4a6 a4a5 a4a3 a4a2 a4a1 f7f6 b7b6 g6g5 h5h4 b4b3 f7f5 b7b5,black
"------k-
--r--ppp
ppN--bb-
-B------
----n-P-
P---P--P
RP---P--
--B---K-",c6d8 c6b8 c6e7 c6a7 c6e5 c6a5 c6d4 c6b4 b5a6 b5c4 b5a4 b5d3 b5e2 b5f1 a2a1 g1h2 g1g2 g1h1 g1f1 c1d2 g4g5 h3h4 a3a4 f2f3 b2b3 f2f4 b2b4,white
"r-b-kb-r
----nppp
pqNp-n--
-B----B-
Q-------
--P-----
PP---PPP
RN--K--R",c6d8 c6b8 c6e7 c6a7 c6e5 c6a5 c6d4 c6b4 g5h6 g5f6 g5h4 g5f4 g5e3 g5d2 g5c1 b5a6 b5c4 b5d3 b5e2 b5f1 a4a6 a4a5 a4h4 a4g4 a4f4 a4e4 a4d4 a4c4 a4b4 a4b3 a4a3 a4c2 a4d1 h1g1 h1f1 e1e2 e1d2 e1f1 e1d1 b1a3 b1d2 e1g1 c3c4 h2h3 g2g3 f2f3 b2b3 a2a3 h2h4 g2g4 f2f4 b2b4,white
